"Прежде чем выворачивать прикипевшую к патрону электролампочку, оденьте на нее полиэтиленовый пакет. ",Так осколки останутся в пакете и никого не поранят.
"Зеркало в ванной комнате не будет запотевать, если покрыть стекло раствором 1 чайной ложки желатина в 50 миллилитрах воды","Также можно использовать жидкое мыло, нанесенное на полотенце в небольшом количестве."
"От воды, капающей из кранов, на поверхности раковин и ванн остаются неприятного вида желтые пятна.","Их можно ликвидировать, протерев нагретым уксусом, в который добавлено немного соли, или кашицей из соли и скипидара."
"Спаренное стекло с воздушной прослойкой, установленное в окне, уменьшает потери тепла, ослабляет уличный шум, не замерзает в мороз.",Никогда не экономьте на окнах.
"Прибивая доску, вбивайте гвозди не строго вертикально, а под некоторым углом, каждый гвоздь в разные стороны. ",Доска будет держаться надежнее.
"Тем, кому приходится носить отвертку в кармане, рекомендуем надеть на ее лезвие кусочек резиновой трубки.",Так вы не поранитесь и не порвете одежду.
"Если к пластмассовой коробке, где хранятся гвозди, прикрепить снизу небольшой магнит, то вы не просыпете нечаянно ее содержимое.",Коробка при этом не должна быть слишком глубокой.
"Если в раковине плохо стекает вода, всыпьте в горловину слива горсточку кальцинированной соды.","Когда она растворится, добавьте туда полстакана уксуса и затем промойте водой."
"Если замок тугой, плохо работает, насыпьте в его скважину немного состроганной с карандашного грифеля графитной пудры.",Ключ же можно протереть воском или мылом.
Делайте розетки под каждым выключателем.,"Никогда не знаешь, где может понадобиться зарядка для телефона или ноутбука."
Удалить пятна с обоев можно с помощью зубного порошка.,"Для этого зубной порошок нужно развести водой до густоты сметаны, смазать загрязненное место и оставить на сутки, а затем счистить порошок щеткой."
"Если под рукой нет тряпки, наденьте на руку носок.",Используйте только чистые носки.
Охлажденной водой после варки картофеля или макарон можно поливать комнатные цветы.,В такой воде содержится множество полезных для растений микроэлементов.
"От неприятного запаха в холодильнике легко избавиться в течении 2-3 часов, если положить туда на блюдечке половинку очищенной луковицы. ",Есть и другой способ: разложите на полках кусочки чёрного хлеба и не открывайте холодильник несколько часов.
"Очень быстро разморозить холодильник можно, наполнив горячей водой обычную резиновую грелку и поместив её в морозилку.",Полчаса - и льда как ни бывало.
